,Chemical,Url,Dates,Uses
542,"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",https://oehha.ca.gov/chemicals/24-hexadienal-89-trans-trans-isomer-11-cis-trans-isomer,['03/04/2005'],[]
543,Hexafluoroacetone,https://oehha.ca.gov/chemicals/hexafluoroacetone,"['06/06/2014', '08/01/2008']","Organic chemical synthesis; chemical intermediate in production of hexafluoroisopropanol and textile coatings; solvent, polymer adhesive"
544,Hexamethylphosphoramide,https://oehha.ca.gov/chemicals/hexamethylphosphoramide,"['01/01/1988', '10/01/1994']",Specialty solvent
545,n-Hexane,https://oehha.ca.gov/chemicals/n-hexane,['12/15/2017'],"Cleaning agent (degreaser), low-temperature thermometer filling; component of solvents (edible oil extraction, adhesives)"
546,"2,5-Hexanedione",https://oehha.ca.gov/chemicals/25-hexanedione,['12/04/2015'],"Used as a starting reagent in the synthesis of trans-2,5-dimethylpyrrolidine and other pyrroles. It is also described as a “reagent used for the protection of amino groups in amino sugars and nucleosides; for the synthesis of five-membered heterocycles, in particular 2,5-dimethyl aminopyrroles, indane-type and benzannulated systems”."
547,Histrelin Acetate,https://oehha.ca.gov/chemicals/histrelin-acetate,['05/15/1998'],Medicine (treatment for prostate cancer and uterine fibroids)
548,"2,3,3',4,4',5,5'-HpCB",https://oehha.ca.gov/chemicals/2334455-hpcb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
549,"2,3,3',4,4',5-HxCB",https://oehha.ca.gov/chemicals/233445-hxcb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
550,"2,3,3',4,4',5'-HxCB",https://oehha.ca.gov/chemicals/233445-hxcb-0,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
551,"2,3',4,4',5,5'-HxCB",https://oehha.ca.gov/chemicals/234455-hxcb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979
552,"3,3',4,4',5,5'-HxCB",https://oehha.ca.gov/chemicals/334455-hxcb,[],From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979.
553,Hydramethylnon,https://oehha.ca.gov/chemicals/hydramethylnon,"['03/05/1999', '03/05/1999']",Insecticide
554,Hydrazine,https://oehha.ca.gov/chemicals/hydrazine,['01/01/1988'],"Precursor to blowing agents, pesticides, pharmaceuticals (antitubercular, antifungals), corrosion inhibitor; aerospace propellant; production of dyes, photographic developer, spandex fibers, explosives, pesticides; reducing agent for many transition metals and some non-metals (arsenic, selenium, tellurium), as well as uranium and plutonium; proposed alternative to hydrogen in fuel cells; component of tobacco smoke"
555,Hydrazine sulfate,https://oehha.ca.gov/chemicals/hydrazine-sulfate,['01/01/1988'],"Fungicide, antiseptic, analytical and reducing reagent; production of rocket fuel, antioxidants, acetate fibers, and insecticides; chemical intermediate"
556,Hydrazobenzene,https://oehha.ca.gov/chemicals/hydrazobenzene,['01/01/1988'],"Chemical intermediate in production of dyes and pharmaceuticals; production of hydrogen peroxide; used as antisludging additive in motor oil, de-suckering agent for tobacco plants, reductant in the reclamation of rubber"
557,Hydrogen Chloride,https://oehha.ca.gov/chemicals/hydrogen-chloride,[],"Production of hydrochloric acid, vinyl chloride, fertilizer, dye, artificial silk, pigment; reagent in industrial chemical transformations, semiconductor etching, electroplating, soap refining, leather tanning; byproduct of combustion"
558,Hydrogen cyanamid,https://oehha.ca.gov/chemicals/hydrogen-cyanamid,[],"Used in agriculture and the production of pharmaceuticals and other organic compounds. It is also used as an alcohol deterrent drug in Canada, Europe and Japan."
559,Hydrogen Cyanide,https://oehha.ca.gov/chemicals/hydrogen-cyanide,[],"Precursor to sodium cyanide and potassium cyanide; chemical warfare agent, fumigant, electroplating; organic chemical synthesis; production of nylon, synthetic fibers, dyes, pesticides; component of vehicle exhaust, wood and tobacco smoke. Naturally occurring in fruits with pit."
560,Hydrogen Fluoride,https://oehha.ca.gov/chemicals/hydrogen-fluoride,[],"Catalyst, reactive solvent; etching glass and enamel; production of refrigerants, herbicides, plastics, and electrical components"
561,Hydrogen Selenide,https://oehha.ca.gov/chemicals/hydrogen-selenide,[],Doping material for semiconductors; synthesis of selenium-containing compounds
562,Hydrogen Sulfide,https://oehha.ca.gov/chemicals/hydrogen-sulfide,[],"Precursor to elemental sulfur, analytical chemistry, precursor to metal sulfides"
563,1-Hydroxyanthraquinone,https://oehha.ca.gov/chemicals/1-hydroxyanthraquinone,['05/27/2005'],Chemical intermediate in production of dyes and pharmaceuticals
564,Hydroxyurea,https://oehha.ca.gov/chemicals/hydroxyurea,['05/01/1997'],Medicine (antineoplastic)
565,Idarubicin Hydrochloride,https://oehha.ca.gov/chemicals/idarubicin-hydrochloride,"['08/20/1999', '08/20/1999']",[]
566,Ifosfamide,https://oehha.ca.gov/chemicals/ifosfamide,['07/01/1990'],Medicine (treatment for cancer)
567,Imazalil,https://oehha.ca.gov/chemicals/imazalil,['05/20/2011'],Fungicide; veterinary medicine (topical antimycotic)
568,Imidacloprid,https://oehha.ca.gov/chemicals/imidacloprid,[],systemic insecticide which acts as an insect neurotoxin
569,Indeno(1-2-3-c-d)pyrene,https://oehha.ca.gov/chemicals/indeno1-2-3-c-dpyrene,['01/01/1988'],Research chemical; component of gasoline engine exhaust and tobacco smoke
570,Indium Phosphide,https://oehha.ca.gov/chemicals/indium-phosphide,['02/27/2001'],"Components in high-power and high frequency electronics, optoelectronics"
571,Iodine-131,https://oehha.ca.gov/chemicals/iodine-131,['01/01/1989'],"Nuclear energy, medical diagnostic and treatment procedures, natural gas production; nuclear fission product"
572,Iprodione,https://oehha.ca.gov/chemicals/iprodione,['05/01/1996'],Fungicide
573,Iprovalicarb,https://oehha.ca.gov/chemicals/iprovalicarb,['06/01/2007'],Agricultural fungicide
574,IQ (2-Amino-3-methylimidazo-[4-5-f]quinoline),https://oehha.ca.gov/chemicals/iq-2-amino-3-methylimidazo-4-5-fquinoline,['04/01/1990'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
575,Iron Dextran Complex,https://oehha.ca.gov/chemicals/iron-dextran-complex,['01/01/1988'],[]
576,Isobutyl Nitrite,https://oehha.ca.gov/chemicals/isobutyl-nitrite,['05/01/1996'],"Recreational inhalant drug, medicine (component of antidote for cyanide poisoning); chemical intermediate in synthesis of aliphatic nitrites"
577,"2,4-D Isooctyl Ester",https://oehha.ca.gov/chemicals/24-d-isooctyl-ester,[],Pesticide
578,Isophorone,https://oehha.ca.gov/chemicals/isophorone,[],Solvent; ingredient in wood preservatives and floor sealants; chemical intermediate
579,Isoprene,https://oehha.ca.gov/chemicals/isoprene,['05/01/1996'],"Production of vehicle tires, styrene-isoprene-styrene block polymers, and butyl rubber"
580,Isopropyl Alcohol,https://oehha.ca.gov/chemicals/isopropyl-alcohol,[],"Rubbing alcohol, antiseptic for hand lotions, rubefacient, dehydrating agent, deicing agent for liquid fuels, synthetic flavoring adjuvant; solvent for gums, oils, creosote, and resins; component of quick drying oils and inks, denaturing alcohol, household products"
581,"2,4-D Isopropyl Ester",https://oehha.ca.gov/chemicals/24-d-isopropyl-ester,[],Herbicide
582,Isopyrazam,https://oehha.ca.gov/chemicals/isopyrazam,['07/24/2012'],Fungicide; not currently registered for use in the US
583,Isosafrole,https://oehha.ca.gov/chemicals/isosafrole,['10/01/1989'],[]
584,Isotretinoin,https://oehha.ca.gov/chemicals/isotretinoin,['07/01/1987'],[]
585,Isoxaflutole,https://oehha.ca.gov/chemicals/isoxaflutole,['12/22/2000'],Herbicide
586,Kresoxim-methyl,https://oehha.ca.gov/chemicals/kresoxim-methyl,['02/03/2012'],Fungicide
587,Lactofen,https://oehha.ca.gov/chemicals/lactofen,['01/01/1989'],Herbicide
588,Lasiocarpine,https://oehha.ca.gov/chemicals/lasiocarpine,['04/01/1988'],Naturally occurring in the seeds of several plants in the family Boraginaceae
589,Lead Acetate,https://oehha.ca.gov/chemicals/lead-acetate,['01/01/1988'],"Dyeing of textiles, waterproofing, insecticide, anti-fouling paints, men's hair dye; drying agent, analytical reagent"
590,Lead and Lead Compounds,https://oehha.ca.gov/chemicals/lead-and-lead-compounds,"['10/01/1992', '02/27/1987', '02/27/1987', '02/27/1987']","Lead is used in batteries, ballast, electrodes, construction materials, glazes, and as a radiation shield. Lead is also a component of tobacco smoke. Lead compounds are used as glazes, pigments, anti-knock additives in aviation fuel, semiconductors, and ammunition."
591,Lead Phosphate,https://oehha.ca.gov/chemicals/lead-phosphate,['04/01/1988'],Stabilizing agent in plastics; component of special glasses
592,Lead Subacetate,https://oehha.ca.gov/chemicals/lead-subacetate,['10/01/1989'],Sugar analysis; clarifying agent for organic substances
593,Leather Dust,https://oehha.ca.gov/chemicals/leather-dust,['04/29/2011'],[]
594,Leuprolide Acetate,https://oehha.ca.gov/chemicals/leuprolide-acetate,"['08/26/1997', '08/26/1997', '08/26/1997']","Medicine (treatment for prostate cancer, endometriosis, uterine fibroids, precocious puberty)"
595,Levodopa,https://oehha.ca.gov/chemicals/levodopa,['01/29/1999'],Medicine (treatment of Parkinson's disease and dopamine-responsive dystonia); endogenous in some plants and animals
596,Levonorgestrel Implants,https://oehha.ca.gov/chemicals/levonorgestrel-implants,['05/15/1998'],"Medicine (contraceptives, hormone replacement therapy)"
597,Lindane and other hexachlorocyclohexane isomers,https://oehha.ca.gov/chemicals/lindane-and-other-hexachlorocyclohexane-isomers,['10/01/1989'],Insecticide
598,Linuron,https://oehha.ca.gov/chemicals/linuron,['03/19/1999'],Herbicide
599,Lithium Carbonate,https://oehha.ca.gov/chemicals/lithium-carbonate,['01/01/1991'],"Production of ovenware, ceramic glazes, cement, tile adhesives; processing of aluminum; active material of carbon dioxide sensors; medicine (treatment for bipolar disorder)"
600,Lithium Citrate,https://oehha.ca.gov/chemicals/lithium-citrate,['01/01/1991'],Medicine (mood stabilizer)
601,Lorazepam,https://oehha.ca.gov/chemicals/lorazepam,['07/01/1990'],"Medicine (benzodiazepine, treatment for agitation and seizures)"
602,Lovastatin,https://oehha.ca.gov/chemicals/lovastatin,['10/01/1992'],Medicine (lowers cholesterol); naturally occuring in oyster mushrooms and red yeast rice
603,Lynestrenol,https://oehha.ca.gov/chemicals/lynestrenol,['02/27/2001'],Medicine (treatment of hormonal disorders)
604,Malathion,https://oehha.ca.gov/chemicals/malathion,['05/20/2016'],organophosphate insecticide
605,Maleic Anhydride,https://oehha.ca.gov/chemicals/maleic-anhydride,[],"Co-monomer for unsaturated polyester resins; chemical intermediate in synthesis of fumaric and tartaric acid, agricultural chemicals, resins, dyes, and pharmaceuticals; bonding agent"
606,"Malonaldehyde, Sodium Salt",https://oehha.ca.gov/chemicals/malonaldehyde-sodium-salt,['05/03/2011'],[]
607,Mancozeb,https://oehha.ca.gov/chemicals/mancozeb,['01/01/1990'],[]
608,Maneb,https://oehha.ca.gov/chemicals/maneb,['01/01/1990'],Pesticide
609,Manganese & Manganese Compounds,https://oehha.ca.gov/chemicals/manganese-manganese-compounds,[],"Naturally occurring metal used in steel alloys, corrosion-resistant aluminum alloys, additive in unleaded gasoline, pigment, battery cells, matches, fireworks, fertilizer; reagent in organic chemistry, oxidizing agent; component of tobacco smoke"
610,Marijuana Smoke,https://oehha.ca.gov/chemicals/marijuana-smoke,['06/19/2009'],[]
611,Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2-3-b]indole),https://oehha.ca.gov/chemicals/me-alpha-c-2-amino-3-methyl-9h-pyrido2-3-bindole,['01/01/1990'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
612,Mebendazole,https://oehha.ca.gov/chemicals/mebendazole,['08/20/1999'],Medicine (antihelmintic)
613,Mechlorethamine,https://oehha.ca.gov/chemicals/mechlorethamine,"['01/01/1988', '01/01/1989']",[]
614,Mechlorethamine Hydrochloride,https://oehha.ca.gov/chemicals/mechlorethamine-hydrochloride,"['04/01/1988', '07/01/1990']",[]
615,Medroxyprogesterone Acetate,https://oehha.ca.gov/chemicals/medroxyprogesterone-acetate,"['01/01/1990', '04/01/1990']",Medicine (contraceptive; antineoplastic)
616,Megestrol Acetate,https://oehha.ca.gov/chemicals/megestrol-acetate,"['03/28/2014', '01/01/1991']","Medicine (appetite stimulant, antineoplastic); veterinary medicine"
617,"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",https://oehha.ca.gov/chemicals/meiq-2-amino-34-dimethylimidazo45-fquinoline,['10/01/1994'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
618,"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",https://oehha.ca.gov/chemicals/meiqx-2-amino-38-dimethylimidazo45-fquinoxaline,['10/01/1994'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
619,Melphalan,https://oehha.ca.gov/chemicals/melphalan,"['02/27/1987', '07/01/1990']","Medicine (alkylating agent- multiple myeloma, ovarian cancer)"
620,Menotropins,https://oehha.ca.gov/chemicals/menotropins,['04/01/1990'],[]
621,Mepanipyrim,https://oehha.ca.gov/chemicals/mepanipyrim,['07/01/2008'],"Fungicide, bactericide, wood preservative"
622,Meprobamate,https://oehha.ca.gov/chemicals/meprobamate,['01/01/1992'],Medicine (anxiolytic)
623,2-Mercaptobenzothiazole,https://oehha.ca.gov/chemicals/2-mercaptobenzothiazole,['10/27/2017'],Antibacterial. Antifungal. Inhibits dopamine beta-hydroxylase.
624,Mercaptopurine,https://oehha.ca.gov/chemicals/mercaptopurine,['07/01/1990'],Medicine (immunosuppressive)
625,Mercury (Inorganic),https://oehha.ca.gov/chemicals/mercury-inorganic,['07/01/1990'],"Thermometers, barometers, mirrors, lubricant, laboratory reagent; catalyst in oxidation of organic compounds, extraction of gold and silver from ores; manufacture of pulp, paper, switching devices, chlorine, caustic soda; component of batteries, dental amalgams; component of tobacco smoke"
626,Merphalan,https://oehha.ca.gov/chemicals/merphalan,['04/01/1988'],Medicine (chemotherapy)
627,Mestranol,https://oehha.ca.gov/chemicals/mestranol,['04/01/1988'],Medicine (contraceptives)
628,Metam Potassium,https://oehha.ca.gov/chemicals/metam-potassium,['12/31/2010'],"Fungicide, bacteriostat, microbicide"
629,Methacycline Hydrochloride,https://oehha.ca.gov/chemicals/methacycline-hydrochloride,['01/01/1991'],Medicine (antibiotic)
630,Metham Sodium,https://oehha.ca.gov/chemicals/metham-sodium,"['11/06/1998', '05/15/1998']","Pesticide, herbicide, fungicide"
631,Methamidophos,https://oehha.ca.gov/chemicals/methamidophos,[],insecticide
632,Methamphetamine,https://oehha.ca.gov/chemicals/methamphetamine,[],"Methamphetamine (contracted from N-methyl-alpha-methylphenethylamine) is a strong central nervous system (CNS) stimulant that is mainly used as a recreational drug. Methamphetamine hydrochloride is approved by the United States Food and Drug Administration (USFDA) under the trade name Desoxyn for attention deficit hyperactivity disorder and obesity in adults and children, and is sometimes prescribed off label for narcolepsy and idiopathic hypersomnia."
633,Methanol,https://oehha.ca.gov/chemicals/methanol,['03/16/2012'],"Fuel (exhibition vehicles, stoves, motors, fuel cell hydrogen carrier), solvent, antifreeze; chemical intermediate (formaldehyde, acetic acid, olefins, gasoline additive MTBE, biodiesel)"
634,Methazole,https://oehha.ca.gov/chemicals/methazole,['12/01/1999'],Herbicide
635,Methidathion,https://oehha.ca.gov/chemicals/methidathion,[],insecticide
636,Methimazole,https://oehha.ca.gov/chemicals/methimazole,['07/01/1990'],"Medicine (treatment for hyperthyroidism), veterinary medicine"
637,Methomyl,https://oehha.ca.gov/chemicals/methomyl,[],carbamate insecticide
638,Methotrexate,https://oehha.ca.gov/chemicals/methotrexate,['01/01/1989'],"Medicine (chemotherapy, treatment for autoimmune disorders, abortifacient)"
639,Methotrexate Sodium,https://oehha.ca.gov/chemicals/methotrexate-sodium,['04/01/1990'],Medicine (treatment for cancer or diseases caused by an overactive immune system)
640,Methoxychlor,https://oehha.ca.gov/chemicals/methoxychlor,[],"Former agricultural, ornamental, and domestic insecticide (fleas, mosquitos, cockroaches, etc.); all uses cancelled in the US in 2003."
641,8-Methoxypsoralen with ultraviolet A therapy,https://oehha.ca.gov/chemicals/8-methoxypsoralen-ultraviolet-therapy,['02/27/1987'],[]
642,5-Methoxypsoralen with ultraviolet A therapy,https://oehha.ca.gov/chemicals/5-methoxypsoralen-ultraviolet-therapy,['10/01/1988'],[]
643,Methyl Bromide,https://oehha.ca.gov/chemicals/methyl-bromide,['01/01/1993'],"Methylating agent; solvent to extract oil from seeds and wool. Formerly used as fumigant and soil sterilant until it was phased out of use in the US in 2005, pursuant to the Montreal Protocol."
644,Methyl Carbamate,https://oehha.ca.gov/chemicals/methyl-carbamate,['05/15/1998'],Chemical intermediate in manufacture of resins to be applied to fabrics
645,Methyl Chloride,https://oehha.ca.gov/chemicals/methyl-chloride,"['03/10/2000', '03/07/2014']",Herbicide; chemical intermediate
646,Methyl Ethyl Ketone,https://oehha.ca.gov/chemicals/methyl-ethyl-ketone,[],"Solvent, denaturing agent, cleaning agent; component of paints, lacquers, varnishes, glues, resins; production of plastics, textiles, paraffin wax; component of automobile and tobacco smoke"
647,Methyl Iodide,https://oehha.ca.gov/chemicals/methyl-iodide,['04/01/1988'],Pesticide
648,Methyl Isobutyl Ketone,https://oehha.ca.gov/chemicals/methyl-isobutyl-ketone,"['11/04/2011', '03/28/2014']","Solvent, denaturant, excipient in drugs; component of adhesives used for packaging, transporting, or holding food"
649,Methyl Isocyanate,https://oehha.ca.gov/chemicals/methyl-isocyanate,"['11/12/2010', '11/12/2010']",Chemical intermediate for production of insecticides and herbicides
650,Methyl isopropyl ketone,https://oehha.ca.gov/chemicals/methyl-isopropyl-ketone,['02/17/2012'],This ketone is used primarily in industrial applications as a chemical intermediate and as a process solvent
651,Methyl isothiocyanate,https://oehha.ca.gov/chemicals/methyl-isothiocyanate,[],"soil fumigant, mainly for protection against fungi and nematodes"
652,Methyl Methanesulfonate,https://oehha.ca.gov/chemicals/methyl-methanesulfonate,['04/01/1988'],"Research chemical (induces cancer, alkylating agent), possible use as reversible and mammalian chemosterilant"
653,Methyl n-Butyl Ketone,https://oehha.ca.gov/chemicals/methyl-n-butyl-ketone,"['12/04/2015', '08/07/2009']","Solvent for lacquers, ink thinners, nitrocellulose, resins, oils, fats, and waxes; medium evaporating solvent"
654,Methyl Parathion,https://oehha.ca.gov/chemicals/methyl-parathion,[],Pesticide that is used to kill insects on crops
655,Methyl Tertiary Butyl Ether,https://oehha.ca.gov/chemicals/methyl-tertiary-butyl-ether,[],Gasoline additive (oxygenate; improves octane ratings and reduces pollutant emission); medicine (dissolves cholesterol gall stones)
656,2-Methyl-1-nitroanthraquinone (of uncertain purity),https://oehha.ca.gov/chemicals/2-methyl-1-nitroanthraquinone-uncertain-purity,['04/01/1988'],Chemical intermediate (dyes)
657,n-Methyl-n-Nitro-n-Nitrosoguanidine,https://oehha.ca.gov/chemicals/n-methyl-n-nitro-n-nitrosoguanidine,['04/01/1988'],Research chemical (induces cancer)
658,Methylazoxymethanol,https://oehha.ca.gov/chemicals/methylazoxymethanol,['04/01/1988'],Medicine (antimitotic)
659,Methylazoxymethanol Acetate,https://oehha.ca.gov/chemicals/methylazoxymethanol-acetate,['04/01/1988'],[]
660,3-Methylcholanthrene,https://oehha.ca.gov/chemicals/3-methylcholanthrene,['01/01/1990'],Research chemical (induces cancer)
661,5-Methylchrysene,https://oehha.ca.gov/chemicals/5-methylchrysene,['04/01/1988'],Component in cigarette smoke
662,"4,4'-Methylene bis(2-chloroaniline)",https://oehha.ca.gov/chemicals/44-methylene-bis2-chloroaniline,['07/01/1987'],"Curing agent in polyurethane production, coating in chemical reations to set plastics and adhesives"
663,"4,4'-Methylene bis(2-methylaniline)",https://oehha.ca.gov/chemicals/44-methylene-bis2-methylaniline,['04/01/1988'],OEHHA 1992. Expedited Cancer Potency Values and Proposed Regulatory Levels for Certain Proposition 65 Carcinogens.
664,Methylene Chloride (Dichloromethane),https://oehha.ca.gov/chemicals/methylene-chloride-dichloromethane,['04/01/1988'],"Solvent; paint stripper, degreaser; extraction agent for flavorings and to decaffeinate coffee and tea; aerosol propellant and blowing agent for polyurethane foams; manufacture of pharmaceuticals, film coatings, and electronics"
665,Methylene Diphenyl Diisocyanate (MDI),https://oehha.ca.gov/chemicals/methylene-diphenyl-isocyanate-mdi,[],"Manufacture of lacquer coatings, polyurethane resins, and spandex fibers"
666,"4,4-Methylenedianiline",https://oehha.ca.gov/chemicals/44-methylenedianiline,['01/01/1988'],"Chemical intermediate in production of polyurethane foams, epoxy resins and adhesives, high-performance polymers, azo dyes, and elastomeric fibers; corrosion inhibitor, antioxidant"
667,"4,4'-Methylenedianiline Dihydrochloride",https://oehha.ca.gov/chemicals/44-methylenedianiline-dihydrochloride,['01/01/1988'],"Analytical reagent, corrosion inhibitor, antioxidant and curative agent in rubber, preparation of azo dyes; chemical intermediate (closed system production of isocyanates and polyisocyanates, used in polymers and resins)"
668,Methyleugenol,https://oehha.ca.gov/chemicals/methyleugenol,['11/16/2001'],[]
669,Methylhydrazine,https://oehha.ca.gov/chemicals/methylhydrazine,['07/01/1992'],"Rocket propellant, fuel for electrical power generating units, solvent; chemical intermediate. Result of gyromitrin hydrolyzed in the body."
670,Methylhydrazine Sulfate,https://oehha.ca.gov/chemicals/methylhydrazine-sulfate,[],Chemical intermediate
671,4-Methylimidazole,https://oehha.ca.gov/chemicals/4-methylimidazole,['01/07/2011'],Component of caramel coloring agents used in foods and drinks; found in cooked food as byproduct of browning reaction
672,2-Methylimidazole,https://oehha.ca.gov/chemicals/2-methylimidazole,['06/22/2012'],"Manufacture of pharmaceuticals, photographic and photothermographic chemicals, dyes, pigments, agricultural chemicals, and rubber; polymerization accelerator, hardener for epoxy resin systems, component of polymers; dyeing auxiliary for acrylic fibres and plastic foams"
673,Methylmercury and methylmercury compounds,https://oehha.ca.gov/chemicals/methylmercury-and-methylmercury-compounds,"['05/01/1996', '07/01/1987']",Listed as Methyl mercury for developmental effects; listed as Methylmercury compounds for cancer.
674,n-Methylolacrylamide,https://oehha.ca.gov/chemicals/n-methylolacrylamide,['07/01/1990'],"Chemical intermediate, reactive comonomer; production of polymers for coatings, varnishes, and adhesion; crease resistance in cotton material."
675,Methylphenidate and its hydrochloride,https://oehha.ca.gov/chemicals/methylphenidate-and-its-hydrochloride,[],Drug (psycho-stimulant)
676,N-Methylpyrrolidone,https://oehha.ca.gov/chemicals/n-methylpyrrolidone,['06/15/2001'],"Solvent for polymers, textile coatings, resins, agricultural chemicals, paint removal, degreasing; petrochemical processing; pharmaceuticals"
677,4-Methylquinoline,https://oehha.ca.gov/chemicals/4-methylquinoline,[],Use in organic preparations as a medicine; food additive; used in the synthesis of several cyanine dyes
678,Methyltestosterone,https://oehha.ca.gov/chemicals/methyltestosterone,['04/01/1990'],[]
679,Methylthiouracil,https://oehha.ca.gov/chemicals/methylthiouracil,['10/01/1989'],Formerly used in medicine (anti-thyroid agent)
680,Metiram,https://oehha.ca.gov/chemicals/metiram,"['01/01/1990', '03/30/1999']",[]
681,Metofluthrin,https://oehha.ca.gov/chemicals/metofluthrin,[],[]
682,Metolachlor,https://oehha.ca.gov/chemicals/metolachlor,[],"Organic compound, widely used as an herbicide."
683,Metribuzin,https://oehha.ca.gov/chemicals/metribuzin,[],Pesticide
684,Metronidazole,https://oehha.ca.gov/chemicals/metronidazole,['01/01/1988'],[]
685,Mevinphos,https://oehha.ca.gov/chemicals/mevinphos,[],contact and systemic acaricide and insecticide
686,Michlers Ketone,https://oehha.ca.gov/chemicals/michlers-ketone,['01/01/1988'],"Synthesis of dyes, pigments, and fungicide"
687,Midazolam Hydrochloride,https://oehha.ca.gov/chemicals/midazolam-hydrochloride,['07/01/1990'],[]
688,Minocycline Hydrochloride,https://oehha.ca.gov/chemicals/minocycline-hydrochloride,['01/01/1992'],[]
689,Mirex,https://oehha.ca.gov/chemicals/mirex,['01/01/1988'],"Insecticide, pesticide, flame retardant additive. Use in the US was banned in 1978."
690,Misoprostol,https://oehha.ca.gov/chemicals/misoprostol,['04/01/1990'],[]
691,Mitomycin C,https://oehha.ca.gov/chemicals/mitomycin-c,['04/01/1988'],"Medicine (antibiotic, antitumor)"
692,Mitoxantrone Hydrochloride,https://oehha.ca.gov/chemicals/mitoxantrone-hydrochloride,"['01/23/2015', '07/01/1990']",[]
693,Molinate,https://oehha.ca.gov/chemicals/molinate,"['12/11/2009', '12/11/2009', '12/11/2009']",Selective herbicide used in rice production. Use in the US terminated August 2009.
694,Molybdenum,https://oehha.ca.gov/chemicals/molybdenum,[],"For chemical-specific screening levels for use in assessing contaminated sites, please see HHRA Note 3 (DTSC HERO). https://www.dtsc.ca.gov/assessingrisk/humanrisk2.cfm"
695,MON 13900 (Furilazole),https://oehha.ca.gov/chemicals/mon-13900-furilazole,['03/22/2011'],[]
696,"MON 4660 (Dichloroacetyl-1-oxa-4-azaspiro(4,5)-decane)",https://oehha.ca.gov/chemicals/mon-4660-dichloroacetyl-1-oxa-4-azaspiro45-decane,['03/22/2011'],[]
697,"3-Monochloropropane-1,2-diol",https://oehha.ca.gov/chemicals/3-monochloropropane-12-diol,['10/08/2010'],[]
698,Monocrotaline,https://oehha.ca.gov/chemicals/monocrotaline,['04/01/1988'],"Research chemical (induces pulmonary hypertension), naturally occurring in plants in the genus Crotalaria"
699,MOPP (vincristine-prednisone-nitrogen mustard-procarbazine mixture),https://oehha.ca.gov/chemicals/mopp-vincristine-prednisone-nitrogen-mustard-procarbazine-mixture,['11/04/2011'],Medicine (combination chemotherapy regimen for Hodgkin lymphoma)
700,Mustard Gas,https://oehha.ca.gov/chemicals/mustard-gas,['02/27/1987'],[]
701,MX (3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone),https://oehha.ca.gov/chemicals/mx-3-chloro-4-dichloromethyl5-hydroxy-2-5h-furanone,['12/22/2000'],Found in chlorinated drinking water
702,Myclobutanil,https://oehha.ca.gov/chemicals/myclobutanil,"['04/16/1999', '04/16/1999']",[]
703,beta-Myrcene,https://oehha.ca.gov/chemicals/beta-myrcene,['03/24/2015'],"7-Methyl-3-methylene-1,6-octadiene"
704,Nabam,https://oehha.ca.gov/chemicals/nabam,['03/30/1999'],"Fungicide, bactericide, algicide"
705,Nafarelin Acetate,https://oehha.ca.gov/chemicals/nafarelin-acetate,['04/01/1990'],[]
706,Nafenopin,https://oehha.ca.gov/chemicals/nafenopin,['04/01/1988'],[]
707,Naled,https://oehha.ca.gov/chemicals/naled,[],Insecticide; acaricide
708,Nalidixic Acid,https://oehha.ca.gov/chemicals/nalidixic-acid,['05/15/1998'],Medicine (antibiotic)
709,Naphthalene,https://oehha.ca.gov/chemicals/naphthalene,['04/19/2002'],"Household fumigant (mothballs, toilet deodorant blocks), pyrotechnics; chemical precursor to phthalic anhydride, 2-naphthol, surfectants, resins, dyes, insecticide, solvents, and others; component of petroleum, coal, and tobacco smoke"
710,1-Naphthylamine,https://oehha.ca.gov/chemicals/1-naphthylamine,['10/01/1989'],Production of azo dyes
711,2-Naphthylamine,https://oehha.ca.gov/chemicals/2-naphthylamine,['02/27/1987'],"Research chemical; component of cigarette smoke. Formerly used as a chemical intermediate for dyes, as a rubber antioxidant, and in the production of 2-chloronaphthylamine."
712,Neomycin Sulfate,https://oehha.ca.gov/chemicals/neomycin-sulfate,['10/01/1992'],[]
713,Netilmicin Sulfate,https://oehha.ca.gov/chemicals/netilmicin-sulfate,['07/01/1990'],[]
714,Nickel Acetate,https://oehha.ca.gov/chemicals/nickel-acetate,['10/01/1989'],Listed as nickel and nickel compounds.
